Animal,Animal_path,Camera,UAV_path,Speed,Bias,Total_hits,Actual_hits
nurse,stop75,nadir,figure8,1,no,5,1
nurse,stop75,nadir,figure8,2,yes,5,1
nurse,stop75,nadir,figure8,2,no,5,1
nurse,random60,garmin,lawnmower,1,yes,0,0
nurse,random60,garmin,lawnmower,1,no,0,0
nurse,random60,garmin,lawnmower,2,yes,0,0
nurse,random60,garmin,lawnmower,2,no,0,0
nurse,random60,garmin,figure8,1,yes,0,0
nurse,random60,garmin,figure8,1,no,0,0
nurse,random60,garmin,figure8,2,yes,0,0
nurse,random60,garmin,figure8,2,no,0,0
nurse,random60,sony,lawnmower,1,yes,0,0
nurse,random60,sony,lawnmower,1,no,0,0
nurse,random60,sony,lawnmower,2,yes,0,0
nurse,random60,sony,lawnmower,2,no,0,0
nurse,random60,sony,figure8,1,yes,0,0
nurse,random60,sony,figure8,1,no,0,0
nurse,random60,sony,figure8,2,yes,0,0
nurse,random60,sony,figure8,2,no,0,0
nurse,random60,nadir,lawnmower,1,yes,0,0
nurse,random60,nadir,lawnmower,1,no,0,0
nurse,random60,nadir,lawnmower,2,yes,0,0
nurse,random60,nadir,lawnmower,2,no,0,0
nurse,random60,nadir,figure8,1,yes,0,0
nurse,random60,nadir,figure8,1,no,0,0
nurse,random60,nadir,figure8,2,yes,0,0
nurse,random60,nadir,figure8,2,no,0,0
nurse,random120,garmin,lawnmower,1,yes,0,0
nurse,random120,garmin,lawnmower,1,no,0,0
nurse,random120,garmin,lawnmower,2,yes,0,0
nurse,random120,garmin,lawnmower,2,no,0,0
nurse,random120,garmin,figure8,1,yes,0,0
nurse,random120,garmin,figure8,1,no,0,0
nurse,random120,garmin,figure8,2,yes,0,0
nurse,random120,garmin,figure8,2,no,0,0
nurse,random120,sony,lawnmower,1,yes,0,0
nurse,random120,sony,lawnmower,1,no,0,0
nurse,random120,sony,lawnmower,2,yes,0,0
nurse,random120,sony,lawnmower,2,no,0,0
nurse,random120,sony,figure8,1,yes,0,0
nurse,random120,sony,figure8,1,no,0,0
nurse,random120,sony,figure8,2,yes,0,0
nurse,random120,sony,figure8,2,no,0,0
nurse,random120,nadir,lawnmower,1,yes,0,0
nurse,random120,nadir,lawnmower,1,no,0,0
nurse,random120,nadir,lawnmower,2,yes,0,0
nurse,random120,nadir,lawnmower,2,no,0,0
nurse,random120,nadir,figure8,1,yes,0,0
nurse,random120,nadir,figure8,1,no,0,0
nurse,random120,nadir,figure8,2,yes,0,0
nurse,random120,nadir,figure8,2,no,0,0
nurse,random180,garmin,lawnmower,1,yes,0,0
nurse,random180,garmin,lawnmower,1,no,0,0
nurse,random180,garmin,lawnmower,2,yes,0,0
nurse,random180,garmin,lawnmower,2,no,0,0
nurse,random180,garmin,figure8,1,yes,0,0
nurse,random180,garmin,figure8,1,no,0,0
nurse,random180,garmin,figure8,2,yes,0,0
nurse,random180,garmin,figure8,2,no,0,0
nurse,random180,sony,lawnmower,1,yes,0,0
nurse,random180,sony,lawnmower,1,no,0,0
nurse,random180,sony,lawnmower,2,yes,0,0
nurse,random180,sony,lawnmower,2,no,0,0
nurse,random180,sony,figure8,1,yes,0,0
nurse,random180,sony,figure8,1,no,0,0
nurse,random180,sony,figure8,2,yes,0,0
nurse,random180,sony,figure8,2,no,0,0
nurse,random180,nadir,lawnmower,1,yes,0,0
nurse,random180,nadir,lawnmower,1,no,0,0
nurse,random180,nadir,lawnmower,2,yes,0,0
nurse,random180,nadir,lawnmower,2,no,0,0
nurse,random180,nadir,figure8,1,yes,0,0
nurse,random180,nadir,figure8,1,no,0,0
nurse,random180,nadir,figure8,2,yes,0,0
nurse,random180,nadir,figure8,2,no,0,0
whale_shark,straight,garmin,lawnmower,1,yes,9,2
whale_shark,straight,garmin,lawnmower,1,no,9,2
whale_shark,straight,garmin,lawnmower,2,yes,7,2
whale_shark,straight,garmin,lawnmower,2,no,8,2
whale_shark,straight,garmin,figure8,1,yes,0,0
whale_shark,straight,garmin,figure8,1,no,0,0
whale_shark,straight,garmin,figure8,2,yes,0,0
whale_shark,straight,garmin,figure8,2,no,0,0
whale_shark,straight,sony,lawnmower,1,yes,0,0
whale_shark,straight,sony,lawnmower,1,no,0,0
whale_shark,straight,sony,lawnmower,2,yes,0,0
whale_shark,straight,sony,lawnmower,2,no,0,0
whale_shark,straight,sony,figure8,1,yes,0,0
whale_shark,straight,sony,figure8,1,no,0,0
whale_shark,straight,sony,figure8,2,yes,0,0
